Date,Title,PDF,URL
2014-11-11,Old Wordpress Blog,oldblog.pdf,https://geetduggal.wordpress.com
2016-12-01,‘Editor-First’ vs. ‘Terminal-First’ for Development,viterm.pdf,https://medium.com/@geetduggal/editor-first-vs-terminal-first-for-development-efea6b02d294
2016-12-02,Reflections on AWS re:Invent 2016,reinvent2016.pdf,https://medium.com/@geetduggal/reflections-on-aws-re-invent-2016-e59a847d0463
2022-05-15,This Simple Journaling Method Could Change Your Life,interstitialjourn.pdf,https://medium.com/@geetduggal/this-simple-journaling-method-could-change-your-life-638b51fac9d8
2022-05-16,This Is How to Have Your Books and Articles Read to You for Free (iOS),tts4all.pdf,https://medium.com/@geetduggal/this-is-how-to-have-your-books-and-articles-read-to-you-for-free-ee2bd9540d4c
2022-05-17,The 5 Reasons I Switched from Notion to Obsidian,notion2obsidian.pdf,https://medium.com/@geetduggal/the-5-reasons-i-switched-from-notion-to-obsidian-adebf802c1f9
2022-05-20,"Organize Your Notes, Projects and Tasks by Area of Responsibility",orgareas.pdf,https://medium.com/@geetduggal/organize-your-notes-projects-and-tasks-by-area-of-responsibility-18035702be22
2022-05-22,How to Surface The Most Useful Reading Highlights in Obsidian,readwise.pdf,https://medium.com/@geetduggal/how-to-surface-the-most-useful-reading-highlights-in-obsidian-c2d50786c5ee
2022-05-24,The Apple Home Theater,appletheater.pdf,https://medium.com/@geetduggal/the-apple-home-theater-7a0375f894e9
2022-06-02,I Spent $50 On These Obsidian Plugins,obsidianplugins.pdf,https://medium.com/@geetduggal/i-spent-50-on-these-obsidian-plugins-750945f4010b
2022-06-12,This Habit Forming Tip Helped Me Actually Make Habits Stick,habittip.pdf,https://medium.com/@geetduggal/this-habit-forming-tip-helped-me-actually-make-habits-stick-cdd8b5502e17
2022-07-13,How To Use Obsidian as Your Companion for Ultimate Creativity,obsidianbsb.pdf,https://medium.com/@geetduggal/how-to-use-obsidian-as-your-companion-for-ultimate-creativity-65dabed92768
2022-07-23,The Most Useful iOS Shortcut for Obsidian,obsidianshortcut.pdf,https://medium.com/@geetduggal/the-most-useful-ios-shortcut-for-obsidian-450a4a751ab0
2023-09-10,Powerful Task Creation with Siri and Fantastical,sirifantasical.pdf,https://medium.com/@geetduggal/powerful-task-creation-with-siri-and-fantastical-57423aa3cf14
2023-12-16,Capture To Do. How I Manage Literally All My Tasks in Obsidian,cd.pdf,https://medium.com/@geetduggal/capture-to-do-d040e1bae4a6
2024-01-05,The Power of Obsidian for Personal Finance Accounting,obsidianfinance.pdf,https://medium.com/@geetduggal/the-power-of-obsidian-for-personal-finance-accounting-f00bbcb1b66f
2024-02-17,Satisfy the Beast. Science the Sh-t Out of Difficult Tasks and Habits,sb.pdf,https://medium.com/@geetduggal/satisfy-the-beast-science-the-sh-t-out-of-difficult-tasks-and-habits-18c4e3d2f04a
2024-02-26,How to Create a Simple Personal Finance Dashboard in Obsidian,obsidianfinance2.pdf,https://medium.com/@geetduggal/how-to-create-a-simple-personal-finance-dashboard-in-obsidian-2f238627286a
2024-04-07,It Was Love At First Sight with This Obsidian Plugin,obsidianthino.pdf,https://medium.com/@geetduggal/it-was-love-at-first-sight-with-this-obsidian-plugin-0616630becf7
2024-04-22,Bullet Journals and Obsidian,obsidianbujo.pdf,https://medium.com/@geetduggal/bullet-journals-and-obsidian-15c52584cd83
2024-05-08,Your Obsidian Workflow is Missing a Physical Notebook,obsidianbujo2.pdf,https://medium.com/@geetduggal/your-obsidian-workflow-is-missing-a-physical-notebook-2e99866edcfc
2024-05-26,The Most Useful iOS Shortcut for Obsidian (and Beyond!) Revisited,bestshortcut.pdf,https://medium.com/@geetduggal/the-most-useful-ios-shortcut-for-obsidian-and-beyond-revisited-9692e62c993a
2024-06-20,Discipline Absorbs Chaos. Try This Game-Changing & Simple Way to Manage Your Time.,dac.pdf,https://medium.com/@geetduggal/discipline-absorbs-chaos-try-this-game-changing-simple-way-to-manage-your-time-14e262ca05bc
2024-07-01,A “No-Code”ish Approach for Using Obsidian & AI To Process Your Notes the Way You Want,obsidianAInocode.pdf,https://medium.com/@geetduggal/a-no-code-ish-approach-for-using-obsidian-ai-to-process-your-notes-the-way-you-want-50714ceaf9c3
2024-07-24,Want Extraordinarily Useful and Timeless Notes? Build a Personal Knowledge Encyclopedia.,pke.pdf,https://medium.com/@geetduggal/want-extraordinarily-useful-and-timeless-notes-build-a-personal-knowledge-encyclopedia-bc8b7fb09829
2024-07-30,OAuth (An Example PKE Article),oauthpke.pdf,https://github.com/geetduggal/geetduggal.github.io/blob/master/pke/OAuth.md
2024-08-27,Weather Resistant Productivity,wrp.pdf,https://medium.com/@geetduggal/2a90c4357068
2024-09-06,"Tech Habits: Obsidian Live Preview, Vi Focus Mode, & Alarms for Calendar Events",techhabits-001-obsdian-vi-alarms.pdf,https://medium.com/@geetduggal/tech-habits-obsidian-live-preview-vi-focus-mode-alarms-for-calendar-events-8c42976be5af
2024-09-22,Tech Habits: Capture Everything in One Place?,techhabits-002-doubledown-wrp.md,https://medium.com/@geetduggal/tech-habits-capture-everything-in-one-place-dd3f20fee466
2024-10-06,Tech Habits: Managing Project Lists in Plain Text Files and Obsidian,techhabits-003-projects.md,https://medium.com/@geetduggal/tech-habits-managing-project-lists-in-plain-text-files-and-obsidian-a51c5e72f5ac
2024-10-14,Tech Habits: The Problem with Task Batching,techhabits-004-task-batching.md,https://medium.com/@geetduggal/tech-habits-the-problem-with-task-batching-41f0a7ab9f49
2024-12-02,Tech Habits: Project Management Using a CSV File vs. Obsidian Kanban,techhabits-005-projects-csv-md.md,https://medium.com/@geetduggal/tech-habits-project-management-using-a-csv-file-vs-obsidian-kanban-2560f832d33c
2025-01-07,Tech Habits: Tech Habits: The Right Time to Experiment with Task and Capture Apps,techhabits-006-experiment-apps.md,https://medium.com/@geetduggal/tech-habits-the-right-time-to-experiment-with-task-and-capture-apps-06c775bc3aa9
2025-01-24,Atlas Journaling: A Unified Approach for Seeing the Big Picture and Acting with Focus,atlasjournaling.md,https://medium.com/@geetduggal/atlas-journaling-a-unified-approach-for-seeing-the-big-picture-and-acting-with-focus-78804f26f5ab
2025-01-27,Tech Habits: One Big Text File (OBTF) after 24 Hours,techhabits-007-obtf.md,https://medium.com/@geetduggal/27672f999949
2025-02-17,"Tech Habits: Atlas Journaling, One Big Text File, and New Experiments",lib/techhabits-008-obtf-atlas.md,https://medium.com/@geetduggal/tech-habits-atlas-journaling-one-big-text-file-and-new-experiments-433ede6c96c0
2025-05-04,"Tech Habits: The Two Lists I Rely On to Run My Day",lib/techhabits-009-staircase.md,https://medium.com/@geetduggal/tech-habits-the-two-lists-i-rely-on-to-run-my-day-469ca249dc9f
